,case_id,context,article_list,keywords
11,case_id=302307585&case_uid=d683fd28-909f-4f19-ad6a-c253c3340068,"['е пришел Бушуев ФИО41 с пивом. Они стали ждать, когда проснется ФИО12, который спал на диване, распивали пиво. Через некоторое время ФИО12 что-то нецензурно ответил Бушуеву ФИО42 назвал его человеком нетрадиционной ориентации. После этого Бушуев ФИО43. пошел на кухню, а ФИО12 пошел из комнаты к нему. Свидетель №3 подбежала к Бушуеву ФИО44 чтобы успокоить его. Они втроем оказались в коридоре между кухней и комнатой, стоя']",ст.105 ч.1,['нетрадиционной ориентац']
12,case_id=367074067&case_uid=4caa6851-8710-41b3-8b04-544959964fa9,"['вший №2) упал сверху на Колосова, пытаясь его удержать. Во время задержания Колосов Д.В. выражался грубой нецензурной бранью в его адрес, а также в адрес Ц, а именно: называл их лицами нетрадиционной сексуальной ориентации, подвергнутыми половому акту, посылал их в область мужского полового органа, а также высказывал иные ругательства, какие именно, уже не помнит, но все они были оскорбительного характера, при этом р']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
13,_id=112027938&_uid=9f98195c-7d8d-4e53-8559-345093c3bb57,"['й деятельностью, публично в присутствии гражданских лиц – ФИО8, ФИО11, а также сотрудников полиции ФИО7, ФИО9, высказал оскорбления в адрес представителя власти - ФИО6, а именно: называл его мужчиной нетрадиционной ориентации, посылал в сторону мужских и женских половых органов в нецензурной форме, подрывая таким образом авторитет представителя власти и правоохранительных органов, и тем самым унизил честь и достоинство ']"," ст.318 ч.1,ст.319",['нетрадиционной ориентац']
14,case_id=267320749&case_uid=5b08a3a2-a76c-46f7-babc-916d6f6bb696,"['ечения попытки скрыться применил к нему специальное средство в виде наручников. Коба С.С. в процессе происходящего ругался грубой нецензурной бранью, называя сотрудников полиции лицами нетрадиционной сексуальной ориентации, однако после того, как на него надели наручники, стал медленно опускаться на землю и показывать судороги, но он (свидетель № 2) этому не поверил, расценил это, как симуляцию. Коба С.С. через некот']",ст.318 ч.1,['сексуальной ориентац']
15,_id=302267316&_uid=97295e95-b345-48fa-979f-6315ab820334,"['употреблял и сказал ему, что он его с кем-то путает, также сказал, что идет от друга. \nТогда мужчина № начал светить ему в лицо фонариком от смартфона и говорить, раз он идет от друга, то он возможно нетрадиционной ориентации. ФИО3 снова возразил ему, после чего получил сразу же удар ладонью правой руки в голову с левой стороны, от чего, не удержавшись, упал на землю и немного потерялся. \nЗатем ФИО3 почувствовал как муж']",ст.161 ч.2 п.г,['нетрадиционной ориентац']
16,case_id=402232011&case_uid=c3c1a897-5b0b-4c57-a9ac-153a4a087930,"['е знал, но знал, что он сосед Свидетель №4. Когда они сидели с ФИО1 между ними началась словесная перепалка, он начал на него выражаться нецензурной бранью и тот на него. ФИО1 говорил, что он мужчина нетрадиционной ориентации и отсталый, в момент, когда ФИО1 начал на него «наезжать», Кондратьев Н.Н. подошел к входу в дом и увидел стоящую возле него железную гардину, взяв её, он подбежал к ФИО1, который стоял возле манга']",ст.105 ч.1,['нетрадиционной ориентац']
17,case_id=87911621&case_uid=25fed038-b591-4d30-a444-afc3a88e7db9,"['у, прошёл сразу в комнату. <В.> увидел Рогова и сказал: «А это что за п***р пришёл?!». Получалось, что <В.> высказался в адрес Рогова грубой оскорбительной нецензурной бранью, назвал Рогова пассивным гомосексуалистом, склонным вступать в половые сношения с мужчинами в качестве пассивной стороны. Рогов ответил, что он (Рогов) сидел срок на зоне (отбывал наказание в местах лишения свободы за наркотики) и такие слов']",ст.111 ч.4,['гомосексуалистом']
18,case_id=230439968&case_uid=81b2367b-d3d1-403f-bc6a-83de99130cdd,"['о спине деревянной шваброй, также наступал тому ногой на грудь. Они нормально общались, никаких конфликтов не было, но 9 февраля Кучеев стал прислонятся к нему телом. Сделав вывод, что это проявление гомосексуализма, и возмутившись, он нанес тому удар рукой по лицу и запретил заходить к нему в комнату. Находясь на кухне, Кучеев стал испражняться под себя, в ночь с 9 на 10 февраля звал Костю. Когда он около 12 ча']",ст.105 ч.1,['гомосексуализма']
19,case_id=89229568&case_uid=21ea2e39-4e1d-4103-b080-a04125ee96f3,"[' использованием нецензурных выражений, унижающих честь и достоинство сотрудника полиции Российской Федерации, оскорбления в адрес полицейского ОППСП Потерпевший №2, назвав его мужчиной нетрадиционной сексуальной ориентации (гомосексуалистом), неприятным, дрянным, подлым человеком, высказав негативное отношение к сотруднику полиции и указав на него как на грязного, опустившегося человека, ничтожество, ведущее непристо', 'ных выражений, унижающих честь и достоинство сотрудника полиции Российской Федерации, оскорбления в адрес полицейского ОППСП Потерпевший №2, назвав его мужчиной нетрадиционной сексуальной ориентации (гомосексуалистом), неприятным, дрянным, подлым человеком, высказав негативное отношение к сотруднику полиции и указав на него как на грязного, опустившегося человека, ничтожество, ведущее непристойный образ жизни, св']"," ст.318 ч.1,ст.319","['сексуальной ориентац', 'гомосексуалистом']"
20,2021_77_01-0007_2021_щербинский_2737.json,"['становкой общественного транспорта «Газопровод», однако целью встречи было объяснить Рузиеву **у., что он ведет неправильный образ жизни, поскольку является мусульманином, однако имеет нетрадиционную сексуальную ориентацию, хотели с друзьями  потерпевшему это объяснить, однако потерпевший начал убегать, но  Рузиева **у. поймали, причинять телесные повреждения не собирались, оружия и ножа у него с собой не было, телеф', ' рюкзаке Рузиева **у. Кроме того, во время нанесения ему телесных повреждений, злоумышленники выкрикивали оскорбления и дискриминационные высказывания по поводу его принадлежности к социальной группе ЛГБТ, демонстрируя при этом  оружие, то есть предмет похожий на пистолет, передавая его друг другу. Далее нападавшие принудили его раскрыть персональную информацию, в том числе о его сексуальной ориентаци']",,"['сексуальную ориентац', 'ЛГБТ']"
21,case_id=299711741&case_uid=86f0a681-f88e-4e80-a099-d4bb3036a554,"['ни познакомились и на протяжении нескольких дней совместно употребляли спиртные напитки. ДД.ММ.ГГГГ между ним и Ф.И.О.17 произошел конфликт в виду того, что последний признался в своей нетрадиционной сексуальной ориентации. Поскольку ранее он отбывал наказание в местах лишения свободы, он отреагировал на данную информацию резко, нанеся потерпевшему 2 удара кулаком по лицу. Спустя некоторое время они помирились и прод']"," ст.111 ч.4, ст.222.1 ч.1,ст.222 ч.7",['сексуальной ориентац']
22,case_id=329307705&case_uid=0a26acb3-02f4-4018-ae1b-93385e1fe6bc,"['ел на него наручники. Не отрицает, что в дежурной части обзывал Потерпевший №2 в связи с тем, что наручниками у него были пережаты сухожилия. Отрицает, что называл Потерпевший №2 лицом нетрадиционной сексуальной ориентации, считает, что употреблял в отношении него слово, которое не является оскорбительным. Утверждает, что пытался успокоить Свидетель №11, когда он агрессивно вел себя в дежурной части.\nИз оглашенных на']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
23,case_id=122723938&case_uid=25af6af1-c816-4ac9-b958-143e5b690d2e,"['овление, а так же два оптических диска, которые содержали видеозаписи. В ходе проведения указанной экспертизы ею были просмотрены видеозаписи, содержащие изображение половых партнеров нетрадиционной (лесбийской) ориентации. На предоставленных файлах записан половой акт, совершаемый двумя женщинами. Руководствуясь, определением порнография, имеющееся в редакции Приказа Роскультуры от 01.07.2005 № 415, которо']",ст.242 ч.3 п.б,['лесбийской']
24,case_id=485675661&case_uid=4e8ea229-b82d-4a94-b9f8-5e92ac6c3cff,"['<ФИО>33 в чувство, после чего <ФИО>6 и <ФИО>11 пошли в сторону подъезда дома, в котором проживает <ФИО>33. По пути <ФИО>6 стал высказывать в его адрес оскорбления, называл его мужчиной нетрадиционной сексуальной ориентации. Когда <ФИО>33 проходил напротив магазина «Пятерочка», расположенного в <адрес обезличен> в <адрес обезличен>, он догнал <ФИО>33 и нанес ему один удар кулаком правой руки в область челюсти и губ, о']",ст.111 ч.4,['сексуальной ориентац']
25,case_id=173799788&case_uid=9e42e1ac-65e9-4f02-845a-f79d683c6c60,"[' тот его душил и он в отместку его ударил, поскольку ничего не мог сделать, чем ударил - не поняли, тем, что попалось под руку, сказал, что в момент драки потерпевший обозвал его лицом нетрадиционной сексуальной ориентации, просил вызвать полицию. Муж был в зимней куртке зелено-синего цвета, коричневых ботинках, черной кепке и шарфе, который он носит обмотанным вокруг шеи. Мужа охарактеризовала с положительной сторон']","ст.316 ч.1,ст.105 ч.1",['сексуальной ориентац']
26,case_id=178893780&case_uid=fea24173-cab4-4e0a-b727-1ed0f2da9b3c,"[' и т.д. (с учетом событий, происходящих в динамике) (том 2 л.д. 57-63);\n- заключением эксперта № от 25.04.2022, согласно которому фразы «пес, с которым произвели половой акт», «мужчина нетрадиционной сексуальной ориентации», «мусор», «средство контрацепции», а также «направление мужского полового органа» имеют «разговорно-сниженную», «бранную», оскорбительную окраску, неприемлемую в официально-деловом общении.\nВысказ']",ст.318 ч.1,['сексуальной ориентац']
27,case_id=204043948&case_uid=e948ac1f-5022-4351-b8e8-c5671e61dbbd,"['ать, он поймал ее у двери, бросил в сторону шкафа, от этого она упала на пол, ударившись руками о шкаф, возможно, сломала фаланги пальцев. Д2 оскорбляла его нецензурными словами, лицом нетрадиционной сексуальной ориентации. Он нанес ей несколько, возможно 15-ть, ударов рукой по лицу. Когда Д2 перестала ругаться, он перестал ее бить. Они выпили спиртного и ушли к соседям Осокин и М (Ш2 и М). Когда он выходил из комнат']","ст.112 ч.1, ст.119 ч.1, ст.111 ч.4",['сексуальной ориентац']
28,_id=294903350&_uid=10269ff4-8ede-4dcd-a02d-2e450266496c,"['ии гражданских лиц – ФИО7 и ФИО4, высказал оскорбления в адрес сотрудника полиции Потерпевший №1, а именно назвал последнего нецензурным словом, означающим презерватив, нецензурным словом, означающим гомосексуалиста, нецензурным словом, означающим того, с кем произвели половой акт, тем самым высказал публичное оскорбление представителя власти - сотрудника полиции Потерпевший №1, находящимся при исполнении своих ']"," ст.318 ч.1,ст.319",['гомосексуалиста']
29,_id=292102189&_uid=5372c7e5-3653-4842-9d8d-3b5f3748b390,"['ия, оскорбила младшего сержанта полиции Потерпевший №1, высказав в его адрес слова грубой нецензурной брани, характеризующими по своему смыслу как человека, являющегося пассивным партнёром в оральном гомосексуальном совокуплении, неопытного молодого человека, чем публично унизила честь и достоинство представителя власти Потерпевший №1 не только в его глазах, но и в глазах присутствующих посторонних лиц, причинив']"," ст.318 ч.1,ст.319",['гомосексуальном']
30,case_id=117344634&case_uid=02898c7f-9cfd-4644-9d46-a3322c702f24,"['ровати А.В.Н. он обнаружил свою рюмку, поэтому решил, что А.В.Н. забрал его бутылку водки. Из-за пропажи водки у него с А.В.Н. возник конфликт, в ходе которого А.В.Н. стал оскорблять его, в том числе гомосексуалистом, что сильно разозлило его и вывело из себя. Он направился к А.В.Н., сидящему на кровати, взял с тумбочки нож с керамическим клинком светлого цвета в правую руку, после чего нанес им не менее 3 ударов']"," ст. 30 ч.3, ст.105 ч.1,ст.119 ч.1",['гомосексуалистом']
31,case_id=13443005&case_uid=81134825-a60f-44b2-a7f5-f1bdacad1740,"[' Канифов Д.Р. ударил М.Д.В. по лицу.\nОн разнял их, стал выяснять причину ссоры, и, узнав от Канифова Д.Р., что М.Д.В. оскорбительно высказался в его (Сафина М.М) адрес, назвав мужчиной нетрадиционной сексуальной ориентации, локтем ударил потерпевшего по лицу, отчего тот упал спиной на пол. \nДалее нанес М.Д.В. несколько ударов ногой по голове, туловищу, обеими руками схватил его за шею и стал душить, при этом позвал н']",ст.105 ч.2 п.ж,['сексуальной ориентац']
32,case_id=142394489&case_uid=7d532455-8b3c-48c2-8373-4d99191cb87f,"['судимый Гаджиев И.А. вину в предъявленном ему обвинении не признал, суду показал, что 19 мая 2020 года ему рассказал Амелин Д.Э. или Узиев А.М. о том, что они назначили встречу с лицом нетрадиционной сексуальной ориентации - ФИО6 и предложили поехать с ним поговорить, хотели прочитать ему лекцию о вреде нетрадиционной ориентации. Он был за рулем своего автомобиля <данные изъяты>, они приехали к <адрес>, увидели парня']",ст.162 ч.2,['сексуальной ориентац']
33,case_id=119716723&case_uid=c74bf095-e700-47c7-8a29-cb19e0cf5dbd,"['ой разговор можно получить в лицо, на что потерпевший сказал ему, ты еще скажи уши отрезать, он ответил, что можно и уши отрезать, на что Потерпевший №1 сказал ему, что уши отрезают мужики, а не лица нетрадиционной ориентации. После чего Потерпевший №1 своей левой рукой взял себя за ухо и оттянул его и предложил подсудимому отрезать ему ухо. Он понял, что Потерпевший №1 его провоцирует, и если он не отрежет ему ухо, то ']",ст.111 ч.2 п.з,['нетрадиционной ориентац']
34,_id=296173557&_uid=9f85fe7f-5771-4085-b152-930b4401f6f1,"['тся при исполнении своих служебных обязанностей, является представителем власти, публично, в присутствии гражданских лиц оскорбил последнего грубой нецензурной бранью, назвав его лицом нетрадиционной сексуальной ориентации, средством контрацепции, а также послал в сторону мужского полового органа, чем унизил честь и достоинство сотрудника полиции Потерпевший №1 в глазах присутствующих.\nОн же совершил применение насил']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
35,case_id=139312141&case_uid=4593d4b5-2fa2-4420-beea-7c0e4ae926a8,"['кое-то время ИАТ ушел, ОАВ спал в комнате и они продолжили втроем: он, Семушин и АВС. Далее, он вышел в туалет. Возвращаясь на кухню, случайно задел АВС, на что последний, неожиданно назвал его лицом нетрадиционной ориентации в грубой форме. Это его сильно разозлило, поскольку он ранее отбывал наказание в местах лишения свободы, и посчитал данное оскорбление недопустимым. После чего, встав перед АВС, который сидел напро']",ст.111 ч.4,['нетрадиционной ориентац']
36,case_id=200319440&case_uid=e8aa1e1c-4a89-4e79-9251-f618de006d3e,"['ецензурной брани. Нефедов Д.Н. также стал выражаться в его адрес грубой нецензурной бранью, выраженной в неприличной форме, а именно посылал его на мужской половой орган, называл лицом нетрадиционной сексуальной ориентации, средством контрацепции. Он повторно представился и потребовал от Чиндяскина А.И. и Нефедова Д.Н. покинуть помещение кафе-бара. В ответ на его законное требование Чиндяскин А.И. и Нефедов Д.Н. прод']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
37,_id=266150894&_uid=9d714d42-4146-4cb7-998d-bcd834d6c682,"[' соответствующие общепринятым нормам поведения в обществе, а именно используя нецензурные, оскорбительные выражения, используя нецензурное обозначение мужского полового органа, мужчины нетрадиционной сексуальной ориентации и другие грубые, нецензурные и оскорбительные выражения, попирающие не только человеческое достоинство, но и затрагивающие профессиональное, служебное достоинство представителей власти, чем оскорби']"," ст.318 ч.1, ст.161 ч.1,ст.319",['сексуальной ориентац']
38,2022_77_01-0297_2022_зеленоградский_9515.json,"['ь по адресу своей регистрации:  ***, умышленно, осознавая противоправный характер своих действий, используя информационно - телекоммуникационную сеть «Интернет», на сайте знакомств лиц нетрадиционной сексуальной ориентации ***, под вымышленным именем, в ходе переписки с пользователем этого же сайта ***, находящимся по адресу: ***, преследуя корыстный умысел, направленный на совершение вымогательства, то есть требован', 'требования передачи чужого имущества, под угрозой распространения сведений, позорящих потерпевшего, а именно, распространения фотографий с изображением ***, с пояснением о принадлежности последнего к ЛГБТ сообществу, в информационно-телекоммуникационной сети «Интернет», и с целью реализации своего преступного умысла, выдвинул последнему требование о передаче ему денежных средств, путем безналичного пе']",,"['сексуальной ориентац', 'ЛГБТ']"
39,case_id=367077847&case_uid=65fa1f84-bf64-432a-9314-e11da8acaa2f,"['торого не знает, имени его не помнит, который являлся знакомым <данные изъяты>, и которому он (Потерпевший №1) предложил приехать к нему в гости и вступить с ним в интимную связь, так как он является гомосексуалистом. После этого он, закрыв входную дверь на замок, лег спать, сколько было времени, не помнит. В ночь в ДД.ММ.ГГГГ на ДД.ММ.ГГГГ он проснулся от того, что его кто-то ударил, а когда открыл глаза, ему кт']",ст.158 ч.2 п.в,['гомосексуалистом']
40,_id=280634089&_uid=93d35bb7-6da0-4b08-820a-04e0e0e5c479,"['сть своих действий, оскорбил грубой нецензурной бранью представителя власти- Г CIO., находящегося при исполнении своих должностных обязанностей, используя нецензурные обозначения: лицо нетрадиционной сексуальной ориентации, средство контрацепции, послал в сторону мужского полового органа, чем унизил честь и достоинство сотрудника полиции Г в глазах присутствующих. \nНесмотря на предупреждение об уголовной ответственно']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
41,case_id=132470613&case_uid=a493d70e-770b-4b17-84e5-8ed142edf0a5,"['ги, руки закинул на живот. Подошел к нему, спросил его зачем, тот так грубо разговаривает, а Потерпевший №2 ответ сказал угрозу в его адрес в нецензурном выражении, оскорбил его «лицом нетрадиционной сексуальной ориентации» и нецензурно высказал угрозу всей его семейке. После этих слов накрыло злостью, сильно разозлился, в тот момент находился в состоянии опьянения. Отчетливо помнит, что три раза ударил Потерпевший №']",ст.105 ч.1,['сексуальной ориентац']
42,_uid=bf30fec3-d328-40d4-b2dc-9e68ee4b7924,"['лужил ли он в армии. Он ответил, что не служил по состоянию здоровья. На что Сергей стал, говорить, что он просто откупился от службы в армии, или что он, может быть, относится к лицам нетрадиционной сексуальной ориентации. Он попросил Сергея прекратить говорить подобные вещи, но Сергей будучи уже хорошо выпившим продолжал говорить ему оскорбительные слова. Тогда он нанес Сергею два удара кулаком в лицо, от которых о']",ст.105 ч.1,['сексуальной ориентац']
43,case_id=278316731&case_uid=ad7e68f0-13b3-4baa-8fdc-bf7683757f39,"['сле окончания разговора Свидетель №2 с мужем ФИО8 вернулся в комнату и проявил агрессию к нему (ФИО1), так как он тоже ранее отбывал наказание в виде лишения свободы, называя его лицом нетрадиционной сексуальной ориентации, что оскорбило его. Данный разговор происходил на кухне. Затем ФИО8 быстро подошел к нему и нанес ему множество ударов кулаками по лицу и туловищу. При этом он в ответ ФИО8 удары не наносил. Их с Ф']",ст.105 ч.1,['сексуальной ориентац']
44,case_id=188466723&case_uid=d792a123-fac7-4e4a-b656-6afbef4fcc87,"['» познакомился с потерпевшим П., с которым стал распивать спиртное. В ночное время они вместе пошли домой. Во дворе дома на проспекте Ленина потерпевший стал оскорблять его, назвал детдомовским и гомосексуальной ориентации. Он разозлился и ударил потерпевшего несколько раз кулаками в лицо и по голове, а когда тот упал один раз ногой. \n15 октября 2021 года он повредил машину своего знакомого Е., и чтобы возместить ему', 'олек» познакомился с потерпевшим П., с которым стал распивать спиртное. В ночное время они вместе пошли домой. Во дворе дома на проспекте Ленина потерпевший стал оскорблять его, назвал детдомовским и гомосексуальной ориентации. Он разозлился и ударил потерпевшего несколько раз кулаками в лицо и по голове, а когда тот упал один раз ногой. \n15 октября 2021 года он повредил машину своего знакомого Е., и чтобы возме']","ст.112 ч.1, ст.158 ч.3 п.а","['сексуальной ориентац', 'гомосексуальной']"
45,_id=300039834&_uid=6c3a6dff-27d4-43f9-a1bc-0cc7196ed513,"['внутренних дел Российской Федерации по Волжскому району старшего сержанта полиции Потерпевший №1 Оскорбительными считаются слова, если они используются в соответствующем контексте: слова, связанные с сексуальной ориентацией или сексуальной деятельностью; слова, связанные с медицинскими терминами, известные в обществе ярко выраженной негативной окраской. \nТаким образом, установлено, что исследованные слова безусловно,']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
46,case_id=47370635&case_uid=3f0eba81-4b66-4775-8d81-c2de3c060896,"['ходилась в подсобке магазина, когда услышала со стороны улицы крики женщины, которая кричала, выражаясь нецензурной бранью, суть которой сводилась к тому, что называя мужчину человеком нетрадиционной сексуальной ориентации, со словами, что он делает и необходимости вызвать Скорую помощь. Других фраз и других голосов она не слышала. Услышав крик, она открыла дверь подсобки, ведущую нам улицу. На улице было уже темно, ']","ст.105 ч.2 п.а, ст. 30 ч.3, ст.105 ч.2 п.а",['сексуальной ориентац']
